,index,groupid,size,Reason fo Separation
436,436,0,174,Zero Tolerance Policy
437,437,0,174,Zero Tolerance Policy
438,438,0,174,Zero Tolerance Policy
439,439,0,174,Zero Tolerance Policy
440,440,0,174,Zero Tolerance Policy
441,441,0,174,Zero Tolerance Policy
442,442,0,174,Zero Tolerance Policy
443,443,0,174,Zero Tolerance Policy
444,444,0,174,Zero Tolerance Policy
445,445,0,174,Zero Tolerance Policy
446,446,0,174,Zero Tolerance Policy
447,447,0,174,Zero Tolerance Policy
448,448,0,174,Zero Tolerance Policy
449,449,0,174,Zero Tolerance Policy
450,450,0,174,Zero Tolerance Policy
451,451,0,174,Zero Tolerance Policy
452,452,0,174,Zero Tolerance Policy
453,453,0,174,Zero Tolerance Policy
454,454,0,174,Zero Tolerance Policy
455,455,0,174,Zero Tolerance Policy
456,456,0,174,Zero Tolerance Policy
457,457,0,174,Zero Tolerance Policy
458,458,0,174,Zero Tolerance Policy
459,459,0,174,Zero Tolerance Policy
460,460,0,174,Zero Tolerance Policy
461,461,0,174,Zero Tolerance Policy
462,462,0,174,Zero Tolerance Policy
463,463,0,174,Zero Tolerance Policy
464,464,0,174,Zero Tolerance Policy
465,465,0,174,Zero Tolerance Policy
466,466,0,174,Zero Tolerance Policy
467,467,0,174,Zero Tolerance Policy
468,468,0,174,Zero Tolerance Policy
469,469,0,174,Zero Tolerance Policy
470,470,0,174,Zero Tolerance Policy
471,471,0,174,Zero Tolerance Policy
472,472,0,174,Zero Tolerance Policy
473,473,0,174,Zero Tolerance Policy
474,474,0,174,Zero Tolerance Policy
475,475,0,174,Zero Tolerance Policy
476,476,0,174,Zero Tolerance Policy
477,477,0,174,Zero Tolerance Policy
478,478,0,174,Zero Tolerance Policy
479,479,0,174,Zero Tolerance Policy
480,480,0,174,Zero Tolerance Policy
481,481,0,174,Zero Tolerance Policy
482,482,0,174,Zero Tolerance Policy
483,483,0,174,Zero Tolerance Policy
484,484,0,174,Zero Tolerance Policy
485,485,0,174,Zero Tolerance Policy
486,486,0,174,Zero Tolerance Policy
487,487,0,174,Zero Tolerance Policy
488,488,0,174,Zero Tolerance Policy
489,489,0,174,Zero Tolerance Policy
490,490,0,174,Zero Tolerance Policy
491,491,0,174,Zero Tolerance Policy
492,492,0,174,Zero Tolerance Policy
493,493,0,174,Zero Tolerance Policy
494,494,0,174,Zero Tolerance Policy
495,495,0,174,Zero Tolerance Policy
496,496,0,174,Zero Tolerance Policy
497,497,0,174,Zero Tolerance Policy
498,498,0,174,Zero Tolerance Policy
499,499,0,174,Zero Tolerance Policy
500,500,0,174,Zero Tolerance Policy
501,501,0,174,Zero Tolerance Policy
502,502,0,174,Zero Tolerance Policy
503,503,0,174,Zero Tolerance Policy
504,504,0,174,Zero Tolerance Policy
505,505,0,174,Zero Tolerance Policy
506,506,0,174,Zero Tolerance Policy
507,507,0,174,Zero Tolerance Policy
508,508,0,174,Zero Tolerance Policy
509,509,0,174,Zero Tolerance Policy
510,510,0,174,Zero Tolerance Policy
511,511,0,174,Zero Tolerance Policy
512,512,0,174,Zero Tolerance Policy
513,513,0,174,Zero Tolerance Policy
514,514,0,174,Zero Tolerance Policy
515,515,0,174,Zero Tolerance Policy
516,516,0,174,Zero Tolerance Policy
517,517,0,174,Zero Tolerance Policy
518,518,0,174,Zero Tolerance Policy
519,519,0,174,Zero Tolerance Policy
520,520,0,174,Zero Tolerance Policy
521,521,0,174,Zero Tolerance Policy
522,522,0,174,Zero Tolerance Policy
523,523,0,174,Zero Tolerance Policy
524,524,0,174,Zero Tolerance Policy
525,525,0,174,Zero Tolerance Policy
526,526,0,174,Zero Tolerance Policy
527,527,0,174,Zero Tolerance Policy
528,528,0,174,Zero Tolerance Policy
529,529,0,174,Zero Tolerance Policy
530,530,0,174,Zero Tolerance Policy
531,531,0,174,Zero Tolerance Policy
532,532,0,174,Zero Tolerance Policy
533,533,0,174,Zero Tolerance Policy
534,534,0,174,Zero Tolerance Policy
535,535,0,174,Zero Tolerance Policy
536,536,0,174,Zero Tolerance Policy
537,537,0,174,Zero Tolerance Policy
538,538,0,174,Zero Tolerance Policy
539,539,0,174,Zero Tolerance Policy
540,540,0,174,Zero Tolerance Policy
541,541,0,174,Zero Tolerance Policy
542,542,0,174,Zero Tolerance Policy
543,543,0,174,Zero Tolerance Policy
544,544,0,174,Zero Tolerance Policy
545,545,0,174,Zero Tolerance Policy
546,546,0,174,Zero Tolerance Policy
547,547,0,174,Zero Tolerance Policy
548,548,0,174,Zero Tolerance Policy
549,549,0,174,Zero Tolerance Policy
550,550,0,174,Zero Tolerance Policy
551,551,0,174,Zero Tolerance Policy
552,552,0,174,Zero Tolerance Policy
553,553,0,174,Zero Tolerance Policy
554,554,0,174,Zero Tolerance Policy
555,555,0,174,Zero Tolerance Policy
556,556,0,174,Zero Tolerance Policy
557,557,0,174,Zero Tolerance Policy
558,558,0,174,Zero Tolerance Policy
559,559,0,174,Zero Tolerance Policy
560,560,0,174,Zero Tolerance Policy
561,561,0,174,Zero Tolerance Policy
562,562,0,174,Zero Tolerance Policy
563,563,0,174,Zero Tolerance Policy
564,564,0,174,Zero Tolerance Policy
565,565,0,174,Zero Tolerance Policy
566,566,0,174,Zero Tolerance Policy
567,567,0,174,Zero Tolerance Policy
568,568,0,174,Zero Tolerance Policy
569,569,0,174,Zero Tolerance Policy
570,570,0,174,Zero Tolerance Policy
571,571,0,174,Zero Tolerance Policy
572,572,0,174,Zero Tolerance Policy
573,573,0,174,Zero Tolerance Policy
574,574,0,174,Zero Tolerance Policy
575,575,0,174,Zero Tolerance Policy
576,576,0,174,Zero Tolerance Policy
577,577,0,174,Zero Tolerance Policy
578,578,0,174,Zero Tolerance Policy
579,579,0,174,Zero Tolerance Policy
580,580,0,174,Zero Tolerance Policy
581,581,0,174,Zero Tolerance Policy
582,582,0,174,Zero Tolerance Policy
583,583,0,174,Zero Tolerance Policy
584,584,0,174,Zero Tolerance Policy
585,585,0,174,Zero Tolerance Policy
586,586,0,174,Zero Tolerance Policy
587,587,0,174,Zero Tolerance Policy
588,588,0,174,Zero Tolerance Policy
589,589,0,174,Zero Tolerance Policy
590,590,0,174,Zero Tolerance Policy
591,591,0,174,Zero Tolerance Policy
592,592,0,174,Zero Tolerance Policy
593,593,0,174,Zero Tolerance Policy
594,594,0,174,Zero Tolerance Policy
595,595,0,174,Zero Tolerance Policy
596,596,0,174,Zero Tolerance Policy
597,597,0,174,Zero Tolerance Policy
598,598,0,174,Zero Tolerance Policy
599,599,0,174,Zero Tolerance Policy
600,600,0,174,Zero Tolerance Policy
601,601,0,174,Zero Tolerance Policy
602,602,0,174,Zero Tolerance Policy
603,603,0,174,Zero Tolerance Policy
604,604,0,174,Zero Tolerance Policy
605,605,0,174,Zero Tolerance Policy
606,606,0,174,Zero Tolerance Policy
607,607,0,174,Zero Tolerance Policy
608,608,0,174,Zero Tolerance Policy
609,609,0,174,Zero Tolerance Policy
610,610,0,174,Zero Tolerance Policy
611,611,0,174,Zero Tolerance Policy
612,612,0,174,Zero Tolerance Policy
613,613,0,174,Zero Tolerance Policy
614,614,0,174,Zero Tolerance Policy
615,615,0,174,Zero Tolerance Policy
616,616,0,174,Zero Tolerance Policy
617,617,0,174,Zero Tolerance Policy
618,618,0,174,Zero Tolerance Policy
619,619,0,174,Zero Tolerance Policy
620,620,0,174,Zero Tolerance Policy
621,621,0,174,Zero Tolerance Policy
622,622,0,174,Zero Tolerance Policy
623,623,0,174,Zero Tolerance Policy
624,624,0,174,Zero Tolerance Policy
625,625,0,174,Zero Tolerance Policy
626,626,0,174,Zero Tolerance Policy
627,627,0,174,Zero Tolerance Policy
628,628,0,174,Zero Tolerance Policy
629,629,0,174,Zero Tolerance Policy
630,630,0,174,Zero Tolerance Policy
631,631,0,174,Zero Tolerance Policy
632,632,0,174,Zero Tolerance Policy
633,633,0,174,Zero Tolerance Policy
634,634,0,174,Zero Tolerance Policy
635,635,0,174,Zero Tolerance Policy
636,636,0,174,Zero Tolerance Policy
637,637,0,174,Zero Tolerance Policy
638,638,0,174,Zero Tolerance Policy
639,639,0,174,Zero Tolerance Policy
640,640,0,174,Zero Tolerance Policy
641,641,0,174,Zero Tolerance Policy
642,642,0,174,Zero Tolerance Policy
643,643,0,174,Zero Tolerance Policy
644,644,0,174,Zero Tolerance Policy
645,645,0,174,Zero Tolerance Policy
646,646,0,174,Zero Tolerance Policy
647,647,0,174,Zero Tolerance Policy
648,648,0,174,Zero Tolerance Policy
649,649,0,174,Zero Tolerance Policy
650,650,0,174,Zero Tolerance Policy
651,651,0,174,Zero Tolerance Policy
652,652,0,174,Zero Tolerance Policy
653,653,0,174,Zero Tolerance Policy
654,654,0,174,Zero Tolerance Policy
655,655,0,174,Zero Tolerance Policy
656,656,0,174,Zero Tolerance Policy
657,657,0,174,Zero Tolerance Policy
658,658,0,174,Zero Tolerance Policy
659,659,0,174,Zero Tolerance Policy
660,660,0,174,Zero Tolerance Policy
661,661,0,174,Zero Tolerance Policy
662,662,0,174,Zero Tolerance Policy
663,663,0,174,Zero Tolerance Policy
664,664,0,174,Zero Tolerance Policy
665,665,0,174,Zero Tolerance Policy
666,666,0,174,Zero Tolerance Policy
667,667,0,174,Zero Tolerance Policy
668,668,0,174,Zero Tolerance Policy
669,669,0,174,Zero Tolerance Policy
670,670,0,174,Zero Tolerance Policy
671,671,0,174,Zero Tolerance Policy
672,672,0,174,Zero Tolerance Policy
673,673,0,174,Zero Tolerance Policy
674,674,0,174,Zero Tolerance Policy
675,675,0,174,Zero Tolerance Policy
676,676,0,174,Zero Tolerance Policy
677,677,0,174,Zero Tolerance Policy
678,678,0,174,Zero Tolerance Policy
679,679,0,174,Zero Tolerance Policy
680,680,0,174,Zero Tolerance Policy
681,681,0,174,Zero Tolerance Policy
682,682,0,174,Zero Tolerance Policy
683,683,0,174,Zero Tolerance Policy
684,684,0,174,Zero Tolerance Policy
685,685,0,174,Zero Tolerance Policy
686,686,0,174,Zero Tolerance Policy
687,687,0,174,Zero Tolerance Policy
688,688,0,174,Zero Tolerance Policy
689,689,0,174,Zero Tolerance Policy
690,690,0,174,Zero Tolerance Policy
691,691,0,174,Zero Tolerance Policy
692,692,0,174,Zero Tolerance Policy
693,693,0,174,Zero Tolerance Policy
694,694,0,174,Zero Tolerance Policy
695,695,0,174,Zero Tolerance Policy
696,696,0,174,Zero Tolerance Policy
